Id,Query,Time,OriginalIntent,FinalIntent,OriginalScore,Nouns,Verbs,Response,ConversationId
5D4FA4BD-772C-4B22-855F-8186DFAEA197,How do I do a transfer,07-Oct-22,Root.HowDoI,Root.HowDoI,0.92699015,transfer transfers ,,,FYCGRjIIZkUE7gCZVtnJdb-eu
F4DA02AC-C455-4A2F-9EEC-8B8C344AB9D3,Need to speak to leaseholder,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.95337665,leaseholder leaseholders ,speak,,42ZPYRb2labG94dVJmEwrt-eu
39662FBD-4E10-4A0A-B614-2FF3AAE6F6A1,Housing register,07-Oct-22,LocalGov.Housing.HousingRegister.Info,LocalGov.Housing.HousingRegister.Info,0.9404529,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CayuoQmj6NU8aUXnSBgDdE-eu
06671202-227D-4322-BC66-9C8DF24B164B,Housing,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.7818172,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CayuoQmj6NU8aUXnSBgDdE-eu
26C759EE-3602-4434-B7FA-315BD67FC127,What band am I in for council housing,07-Oct-22,LocalGov.CouncilTax.Bands.Address.Query,LocalGov.CouncilTax.Bands.Address.Query,0.59136504,band council housing bands councils housing council-housing,house,{Carousel},CayuoQmj6NU8aUXnSBgDdE-eu
54F7A02B-64F8-45EA-BF65-FEF5B16E03A1,About how glance council,07-Oct-22,LocalGov.CouncilTax.Support.Info,LocalGov.CouncilTax.Support.Info,0.44385642,glance council glances councils glance-council,,{Carousel},GUVhOk0aOjkD12JPhA6F0k-eu
5DF55AE8-30FD-4106-9068-85A063E3B319,Umm,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,F6aHanCPuyE4mf5UOKAsW7-eu
5043B4D0-C431-4A29-8141-726863D1897E,Yeah,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,1jy6ufUsX7s5DdnevA6deu-eu
522B0B72-7103-43B8-91D9-A146BEFB04D8,Ohh,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,1jy6ufUsX7s5DdnevA6deu-eu
61FB9358-18F9-4497-A029-00D0603C0B1D,I haven't got a question. All I want to let you know is that I'm moving on the 14th of October. I'm letting you know,07-Oct-22,LocalGov.Housing.Homeless.Imminent.Info,LocalGov.Housing.Homeless.Imminent.Info,0.19954987,,,Your request was a bit too long to understand I'm afraid. Please try using 20 words or less.,BAOkBLqPZYfFiJeDO1oavr-eu
0C5877D9-2FF5-4F23-BC2B-CFE471BC556F,Housing,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.7818172,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,1jy6ufUsX7s5DdnevA6deu-eu
B07FAF6F-F3BF-48C1-9634-BEBC7E6C612B,Find someone to help,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.9972674,someone someone ,help,,BAOkBLqPZYfFiJeDO1oavr-eu
FC716936-E48A-42AF-8F3F-0A9A7AEF5D84,**** sake,07-Oct-22,LocalGov.Waste.Household.Dispose.How,LocalGov.Waste.Household.Dispose.How,0.12031231,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,ABbnXYyzhXvH52MsLzuxnz-eu
7E069E11-2029-4822-93DC-2C4E094E81C1,How do I get a tree,07-Oct-22,Root.HowDoI,Root.HowDoI,0.7694982,tree trees ,get,,3HBTnAHubT5ILLZ9ie0Aam-eu
297033B9-0622-4325-B64D-A97BC6B3342A,Electoral services,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,74QizNFn8Ta8wZGMaSDC3G-eu
01CE675D-1481-40C1-869E-F3B96019EF43,How do I register in the election electoral service,07-Oct-22,LocalGov.Environ.FoodSafety.Register.Info,LocalGov.Environ.FoodSafety.Register.Info,0.09603337,election service elections services election-electoral-service,register,,74QizNFn8Ta8wZGMaSDC3G-eu
281349F4-D0F9-4763-9C58-0FF2C1C1C345,Half our support fund,07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.113961205,support fund supports funds support-fund,,,EXBx7nhMryCFtBdHhTdU0I-eu
95D58193-301F-4040-A7CE-F14378513D98,I have a question for penalty charge notice,07-Oct-22,LocalGov.Parking.Fine.Challenge,LocalGov.Parking.Fine.Challenge,0.7431337,question penalty charge notice questions penalties charges notices penalty-charge-notice,,{Carousel},29igLerydh56JYSCMM1lkq-eu
9F50763A-3631-4A6C-9BAC-FEC60FE415FB,Yeah,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,5rzmo8Ei78jCXdN8ysIv8w-eu
E728E354-02AA-48B4-B06C-B0163C1B91FC,Who won the Saint Anthony's election yesterday? Please,07-Oct-22,LocalGov.Housing.HealthSafety.Damp.Info,LocalGov.Housing.HealthSafety.Damp.Info,0.032233756,Saint Anthonys election yesterday Saints Anthonys elections yesterdays Saint-Anthony's-election,,,5rzmo8Ei78jCXdN8ysIv8w-eu
77909ED6-459B-404C-9B96-8CD94FE16292,Get in touch with the dog warden,07-Oct-22,LocalGov.Environ.Animals.LostFoundDogs.Found.Info,LocalGov.Environ.Animals.LostFoundDogs.Found.Info,0.09033364,touch dog warden touches dogs wardens dog-warden,Get,,9VXVMLqEBNP1aRMZrzJDXg-eu
6A48A918-1B96-4AE4-8E60-A7E732CEF89D,Advisor,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,7f3RuBc85iC15eXioy7LwF-eu
582C8D63-83E7-4073-B536-59AAAF2C43DE,Find someone to help,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.9972674,someone someone ,help,,7f3RuBc85iC15eXioy7LwF-eu
EC9CBF0B-BD4E-46AA-8D2E-43947F852CC9,"Sir, I don't know",07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.77610356,Sir Sirs ,dont,,D8eEW3KAH3dhcodYO2A4B-eu
E0DC4380-A990-4276-80CD-28632DAF3ABA,Household support grant information,07-Oct-22,Root.HowDoI,Root.HowDoI,0.33484748,Household support grant Households supports grants Household-support-grant-information,,,Dib1mRjcE0AIXiu4q3Icpr-eu
E0C5736D-C2FA-495F-A350-69B52380608D,Find out if I'm eligible for any help can,07-Oct-22,LocalGov.Housing.Unemployment.Advice.Info,LocalGov.Housing.Unemployment.Advice.Info,0.09287787,Im Ims ,,,96B7WxfTRv4qEBtbM947y-eu
691C12B1-8267-4B4D-9942-7F22C5C64BBB,Am I eligible for private renting,07-Oct-22,LocalGov.Parking.BlueBadge.Return,LocalGov.Parking.BlueBadge.Return,0.19578676,renting renting private-renting,rent,,LK9WSQ1bY659uo1XwNSm5U-eu
DB7906D0-6BFE-4E0D-A21B-CA29C26EB20E,What time does the Eastbourne Beer Festival start on Saturday,07-Oct-22,LocalGov.Bin.Household.Collection.Time.When,LocalGov.Bin.Household.Collection.Time.When,0.40232012,time Eastbourne Beer Festival Saturday times Eastbournes Beers Festivals Saturdays Eastbourne-Beer-Festival,start,{Carousel},GfgVPhNEuxkFsusVRRag04-eu
221547CF-65C1-4047-945E-67626785529D,Disabled parking,07-Oct-22,LocalGov.Parking.BlueBadge.Renew,LocalGov.Parking.BlueBadge.Renew,0.9718342,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,FW6pfbAuBTZ4k7Wc5PJqPa-eu
FFD4ADA7-688E-43D1-89E2-47998934694F,Disabled parking space outside my house,07-Oct-22,LocalGov.Parking.Disabled.Bay.Apply,LocalGov.Parking.Disabled.Bay.Apply,0.97294074,parking space house parking spaces houses Disabled-parking-space,park,{Carousel},FW6pfbAuBTZ4k7Wc5PJqPa-eu
8BAE86A3-DDF6-4ED3-9AAB-6FBF84DD00BF,Energy rebate,07-Oct-22,LRG.EnergyRebate.When,LRG.EnergyRebate.When,0.7598096,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,3j3Tbj0GuFH7ulu5opiAlV-eu
A99A860F-55AC-4A91-B89A-38AD2D00B9BC,How do I find out about energy rebates,07-Oct-22,Root.HowDoI,Root.HowDoI,0.969584,energy rebates energies rebate energy-rebates,,,3j3Tbj0GuFH7ulu5opiAlV-eu
8CB8D883-F7CA-4CB5-9718-E2BC87DA61A2,Change of direct debit information,07-Oct-22,LocalGov.Housing.Rent.Pay.DDebit.Date.Info,LocalGov.Housing.Rent.Pay.DDebit.Date.Info,0.8976271,Change debit Changes debits direct-debit-information,,{Carousel},7TZ66xxLL8F37u2REq1S0B-eu
0A949CE9-4873-450C-9D5D-57BA7AC7DD1A,Housing needs,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.33324164,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,9nTIcsUfsS5CHrgpY0XPsD-eu
FCBC1D5E-4185-475A-A918-ABA1FF97DE0B,"Hello, speak to someone",07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.9990094,someone someone ,speak,,9nTIcsUfsS5CHrgpY0XPsD-eu
E224720B-E244-4C76-BD26-B185B8F7824A,I don't know my Council tax reference number,07-Oct-22,LocalGov.CouncilTax.Support.Eligible.Who,LocalGov.CouncilTax.Support.Eligible.Who,0.6007897,Council tax reference number Councils taxes references numbers Council-tax-reference-number,dont,{Carousel},zwc7ruP9ORGGU5WQ4O5YD-eu
3C9C3379-461B-4A4B-BD00-980E7E831AFD,"I'd like to speak to the manager, Harriet",07-Oct-22,LocalGov.Housing.HealthSafety.Damp.Info,LocalGov.Housing.HealthSafety.Damp.Info,0.029481508,Id manager Harriet Ids managers Harriets ,speak,,KcIw30Cksua8iCkoNNkA24-eu
441E9F52-1F4E-4D25-9A2B-A2A0073A91A6,Parking,07-Oct-22,LocalGov.Parking.Illegal.Report,LocalGov.Parking.Illegal.Report,0.9875754,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CFEKN4k1H8eFOCetJKa0MA-eu
542AEB45-4FBB-4F6E-B214-97ADA62869B0,Parking,07-Oct-22,LocalGov.Parking.Illegal.Report,LocalGov.Parking.Illegal.Report,0.9875754,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CFEKN4k1H8eFOCetJKa0MA-eu
BC4AE6BE-14FA-44DE-ADCE-9E489C936CD7,Payments,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CFEKN4k1H8eFOCetJKa0MA-eu
32FEDFBE-24BE-4EE4-9AC9-47551B00489C,Parking payments,07-Oct-22,LocalGov.Base.PublicServiceLocation.Contact,LocalGov.Base.PublicServiceLocation.Contact,0.88914895,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,CFEKN4k1H8eFOCetJKa0MA-eu
4928CFA9-09B9-4804-834D-B9D436C2BBB5,Planning department,07-Oct-22,LocalGov.Base.PublicServiceLocation.Contact,LocalGov.Base.PublicServiceLocation.Contact,0.9848993,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,J8K6rNFvndOLVZdLzr8CVh-eu
DDA4AA98-6E32-445F-9682-7C3C39C11455,Help with housing,07-Oct-22,LocalGov.Housing.Contact,LocalGov.Housing.Contact,0.3940339,housing housing ,Help house,,2SNEXuhrDSP2GCI5rEkbjH-eu
E40CEE92-7F73-408E-9A3F-4BABAE27B4CA,My housing application,07-Oct-22,LocalGov.Housing.Application.Help.Request,LocalGov.Housing.Application.Help.Request,0.87163985,housing application housing applications housing-application,house,{Carousel},LQpVHDOhZBqY9P3bp728V-eu
0CE1DD73-25F3-47E9-BF17-2D7ED7E549C4,Speak to an advisor,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.9819928,advisor advisors ,Speak,,2vCZFKOrDM2IiiXLTOw0W6-eu
89246B11-0A86-43A9-B2C5-665DECE9EE7E,I didn't get 150 pounds,07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.58482015,pounds pound ,didnt get,,IJBgwGB6j2YEb763P342fb-eu
AC0CC4D2-9443-454C-82A4-8367C9685A10,I want to claim my pension,07-Oct-22,Root.IWantTo,Root.IWantTo,0.8394524,pension pensions ,claim,,6wuKDrzfjXpDg9VuPKaJ4q-eu
8C062459-D850-4B8C-B0AD-088C51F9E43A,I need a referral for leap,07-Oct-22,LocalGov.Waste.Household.Dispose.How,LocalGov.Waste.Household.Dispose.How,0.109647326,referral leap referrals leaps ,,,IzJ1a4kauVl9KrUkLLyHAP-eu
0D9D3C51-C900-4B66-8B05-0FB26D2EE192,Energy rebate account number 83076159,07-Oct-22,LRG.EnergyRebate.When,LRG.EnergyRebate.When,0.26946872,Energy rebate account number Energies rebate accounts numbers Energy-rebate-account-number,,,2L9lme74u0YLKQyyKMaJmZ-eu
AC45660F-F679-4A4A-A5DE-9D8E553AC902,Customer first,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,GmBHmylFiabCEp0bm2nVdx-eu
0C5D21CE-14A1-4F5C-A53C-8D94A4250238,Can I speak to somebody about the,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,1,somebody somebody ,speak,,DIx8pItcrmQGO1K7V6sjl6-eu
30B5F392-EC21-4A11-9C6A-54C73A660990,Customer first,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,GmBHmylFiabCEp0bm2nVdx-eu
6C652758-3CB9-4406-B53E-598055BDAB7F,How do I speak to a human,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.99970204,human humen ,speak,,GmBHmylFiabCEp0bm2nVdx-eu
A3BAB5B3-4B4E-47F0-AA94-F1729B6E4C6E,Connect me,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.9999512,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,2nXrffOaFpm2iUnDINryaB-eu
2D827996-D849-42F8-AC16-850FD97D4E94,How do I find out the phone number of the people who are coming to do my repairs,07-Oct-22,LocalGov.Housing.Priv.Tenants.Repairs.Report,LocalGov.Housing.Priv.Tenants.Repairs.Report,0.33635193,phone number people coming repairs phones numbers person coming repair phone-number,come,,7LsrhfW9P7o6INbXe4oe9y-eu
D34C6D0D-CE64-4A09-AE57-A80A2F2D35AE,Environmental health,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,6tXdg26BAa23EsAz4AmmTV-eu
BB9BAE1E-D2A8-44FF-A11D-8FC3BECE12F8,Environment,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,6tXdg26BAa23EsAz4AmmTV-eu
6A40BDD1-7367-4A56-A8A4-9C6CADEB331C,How can I report anti social behaviour,07-Oct-22,LocalGov.Housing.AntiSocial.Report,LocalGov.Housing.AntiSocial.Report,0.37325206,behaviour behaviours anti-social-behaviour,report,,GlCQWYidBqDC5cWDfBXGJ-eu
A90A2688-279E-4517-B5CF-142D604755B1,Planning,07-Oct-22,LocalGov.Planning.Permission.Cost.Query,LocalGov.Planning.Permission.Cost.Query,0.98387766,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,ByVicD9vRDI9Oc8Z6p8igM-eu
56F966DB-A159-4A93-B4EF-90EC3A656643,Housing decision,07-Oct-22,LocalGov.Parking.BlueBadge.Appeal,LocalGov.Parking.BlueBadge.Appeal,0.5126648,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,3OHUNSLat8E2nXt5S23Kjp-eu
D08BE9E3-FEFD-490F-A7AC-F7E0991886BB,Extra financial support,07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.077497974,support supports financial-support,,,4ehJg8sPbc28Mbkt6mWETY-eu
17469EC3-935A-4305-BBFE-90D21D6ADF12,Housing decision,07-Oct-22,LocalGov.Parking.BlueBadge.Appeal,LocalGov.Parking.BlueBadge.Appeal,0.5126648,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,3OHUNSLat8E2nXt5S23Kjp-eu
C184EFB5-22A2-4C3F-A01F-39186FB944D6,I am waiting for a housing decision,07-Oct-22,LocalGov.Planning.Permission.Decision.When,LocalGov.Planning.Permission.Decision.When,0.21825157,waiting housing decision waiting housing decisions housing-decision,wait house,,3OHUNSLat8E2nXt5S23Kjp-eu
EFC3DC2A-39D0-4FD9-812A-FD256375DA16,Water blockage,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,A1qfL5Cr2b5AZBwOqvdksP-eu
D4B87B39-90D0-4D77-A904-46BCE9CE1C05,Hi,07-Oct-22,Root.Hello,Root.Hello,1,  ,,,A1qfL5Cr2b5AZBwOqvdksP-eu
A507ECF9-BEF1-4E24-9A20-2727B4070E81,Reporting flight tipping,07-Oct-22,Root.Sensitive.Desperation,Root.Sensitive.Desperation,0.077497974,Reporting flight tipping Reporting flights tipping Reporting-flight-tipping,report tip,,GA9l16fxnmYFHckjh2hPPC-eu
598A5D03-CC88-491D-98AF-FBAC4BD3427F,I need to find someone who knows about my house in application,07-Oct-22,LocalGov.Parking.BlueBadge.Check,LocalGov.Parking.BlueBadge.Check,0.18641369,someone house application someone houses applications ,,,IhvzNq1HoWu8vvlFB19SSO-eu
09C985AD-06E0-4D9F-87EB-D293FE9B5686,I want to speak to somebody about car parking,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,1,somebody car parking somebody cars parking car-parking,speak park,,8RXAScZ6L4n1kdUvyaaFzK-eu
327A709D-BE90-4E62-8CBE-0CD2AE6085DC,Housing,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.7818172,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,InxAKrSIABzKRZIudZkHFw-eu
51EDFB75-0DDD-4010-8A56-39DF8F5140A6,I would like information on housing,07-Oct-22,LocalGov.Housing.Repairs.Cancel,LocalGov.Housing.Repairs.Cancel,0.22532554,housing housing ,house,,InxAKrSIABzKRZIudZkHFw-eu
3D8BF6AC-06CF-4145-BF5D-17306E347F30,Can I speak to Louisa Tucker,07-Oct-22,Base.Person.Transfer,Base.Person.Transfer,0.92770505,Louisa Tucker Louisas Tuckers Louisa-Tucker,speak,,6DLxGiVrlf9AOMS5CLodTG-eu
04F00F43-9C63-4300-9430-6621F065EC19,Dog warden,07-Oct-22,Root.Hello,Root.Hello,0.07532938,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,9ubuHn0IiFQ61Zo24CUCFv-eu
D96DEA6B-0DFA-4B95-909B-89377600D253,How to contact the dog warden,07-Oct-22,LocalGov.Environ.Animals.LostFoundDogs.Found.Info,LocalGov.Environ.Animals.LostFoundDogs.Found.Info,0.14183523,dog warden dogs wardens dog-warden,contact,,9ubuHn0IiFQ61Zo24CUCFv-eu
B7FB2495-8C8C-4C48-B343-767943A92D2D,Has my housing application been received,07-Oct-22,LocalGov.Housing.Application.Help.Request,LocalGov.Housing.Application.Help.Request,0.438403,housing application housing applications housing-application,house,{Carousel},GT5ubndvxTF1al6HwjtY89-eu
41A64BDA-715A-4E49-BDFF-F342639D9FE7,"How do I remain in my home here without carer? I've a fractured foot, the suspected fractured foot and I've distaccato my finger",07-Oct-22,LocalGov.CouncilTax.Discount.CareWorker.Info,LocalGov.CouncilTax.Discount.CareWorker.Info,0.2760844,,,Your request was a bit too long to understand I'm afraid. Please try using 20 words or less.,7cfOKc2260eC7KHMZu1pNB-eu
B652F3F8-6C82-4845-AA36-569A640E16F4,How can I get hold of housing,07-Oct-22,LocalGov.Waste.Household.Dispose.How,LocalGov.Waste.Household.Dispose.How,0.2491889,hold housing holds housing ,get house,,7cfOKc2260eC7KHMZu1pNB-eu
8F708A07-6553-42B5-A50E-E5B4BE7E70C6,How do I arrange online access,07-Oct-22,Root.HowDoI,Root.HowDoI,0.9867528,access accesses online-access,arrange,,KF7geSxlmtzD54OBBP1CKJ-eu
AD0C60D5-A91D-472B-88E0-9F571FE76ACF,Maintenance surveyor for lewes District Council,07-Oct-22,LocalGov.Base.PublicServiceLocation.Contact,LocalGov.Base.PublicServiceLocation.Contact,0.25591144,Maintenance surveyor lewes District Council Maintenances surveyors lewes Districts Councils lewes-District-Council Maintenance-surveyor,,,FhLxDtTXhBH9KacMARqIUw-eu
8D4420F8-2CDF-476A-9C14-1D62423F6C1E,How do I speak to the dog warden,07-Oct-22,LocalGov.Environ.Cleaning.AnimalFouling.Info,LocalGov.Environ.Cleaning.AnimalFouling.Info,0.08346636,dog warden dogs wardens dog-warden,speak,,FvsRPRQgkza91Nie687Mxj-eu
619FB0C2-B6DA-4456-8D7B-A6F7BAF786A2,"My question is, can I have a telephone number or something for a gas problem? I don't know where to get to contact anyone",07-Oct-22,LocalGov.Housing.Gas.Service.Rebook,LocalGov.Housing.Gas.Service.Rebook,0.15330425,,,Your request was a bit too long to understand I'm afraid. Please try using 20 words or less.,B2P9wR1vU1R6FVoFNA4iGs-eu
FFB1C620-BE45-4A51-A089-A0ED7D7E6977,I have a carbon monoxide problem,07-Oct-22,LocalGov.Environ.PestControl.Problem.Info,LocalGov.Environ.PestControl.Problem.Info,0.14708689,carbon monoxide carbons monoxides carbon-monoxide-problem,,,B2P9wR1vU1R6FVoFNA4iGs-eu
F8010093-DD78-4E84-9B03-E049ACEE4E5D,Bulky waste collection,07-Oct-22,LocalGov.Waste.Bulky.AllowedItems.Query,LocalGov.Waste.Bulky.AllowedItems.Query,0.9649889,waste collection wastes collections Bulky-waste-collection,,{Carousel},CEERW6TsawyChqL0K1qmjm-eu
76A893F2-6BF4-4A32-99D4-7E19EB3A7C3E,How do I get a sharps box picked up,07-Oct-22,LocalGov.Waste.Clinical.Container.Sharps.Renew,LocalGov.Waste.Clinical.Container.Sharps.Renew,0.96606106,sharps box sharp boxes sharps-box,get,{Carousel},LEMKT0D0TEnKPmVtzV3MbJ-eu
7A8A35B7-D2DF-48B0-BB5A-F93DCF5CA198,How do I get a shot being picked up,07-Oct-22,LocalGov.Waste.Household.Dispose.How,LocalGov.Waste.Household.Dispose.How,0.08523741,shot shots ,get,,IG0MZnrEOSX6zBsQbzqLBT-eu
B1062A74-A21A-40CA-8991-9C771E999530,How do I phone my case worker,07-Oct-22,Root.HowDoI,Root.HowDoI,0.8715798,case worker cases workers case-worker,phone,,9YHYQTEVGxzHJgmosReoRI-eu
2CE2AC14-6103-4038-8531-8A52648043EB,"Hello, this is regarding our",07-Oct-22,LocalGov.Parking.BlueBadge.Appeal,LocalGov.Parking.BlueBadge.Appeal,0.09795511,regarding regarding ,regard,,773EZgsocbF41y8RobVQKt-eu
020ED7B0-3F67-4165-B0BC-53B57FC40426,Rubbish dumped in Slugwash lane,07-Oct-22,LocalGov.Waste.Street.Spoilage.Report,LocalGov.Waste.Street.Spoilage.Report,0.9553207,Rubbish Slugwash lane Rubbishes Slugwashes lanes Slugwash-lane,,{Carousel},6qkhvPvB9XH3NH2SvYScP8-eu
BF827548-0CAE-4165-B52F-CF4C44909397,7,07-Oct-22,Root.Hello,Root.Hello,0.5403972,,,Tip - I work best if you ask a short question or tell me your problem in a short sentence rather than just using keywords.,J2LAEGVK5JqJ2Awz2Wt9-eu
82B9DA21-B8FB-4392-AC12-3A6C8E9E431D,I want to find out about refuse collections,07-Oct-22,LocalGov.Planning.Heritage.HistoricRecords.Enquire,LocalGov.Planning.Heritage.HistoricRecords.Enquire,0.05438513,refuse collections refuses collection ,,,1c5mwSiSDZHDeA07GqQD4O-eu
8606E96C-1724-46BA-B168-81F3A5D187BD,"Um, question about solar panel installation",07-Oct-22,LocalGov.Planning.Permission.Decision.Who,LocalGov.Planning.Permission.Decision.Who,0.060541127,question panel installation questions panels installations solar-panel-installation,,,F7VZ1TJC4lF7uA4WP66UV7-eu
63B7FAE8-F1C1-41B5-8F70-F53B3F88ACDB,The name of the company installing Fibre in Eastbourne,07-Oct-22,LocalGov.Environ.Cleaning.Business.Info,LocalGov.Environ.Cleaning.Business.Info,0.009384656,name company installing Fibre Eastbourne names companies installing Fibres Eastbournes ,install,,784KwGDEYgRJOkkQGAZ7Co-eu
